Title,Description,Aims,Learning outcome( Expecting outcome),Type label,Location,Organization,Year,SDGs related,Related to which discipline,Useful for which industries,Source,id
LAWGEN 115N: Human Rights Advocacy,"What are the origins of the human rights movement and where is it headed? What does it mean to be a human rights activist? What are the main challenges and dilemmas facing those engaged in human rights advocacy? In the space of seven decades, human rights advocates have transformed a marginal utopian ideal into a central element of global discussion, if not practice. In this seminar we will examine the actors and organizations behind this remarkable development as well as the vast challenges faced by advocates in the recent past and today. Together, we will learn to be critical of, as well as to think, and act, like human rights advocates. This seminar will introduce you to some the main debates and dilemmas within the human rights movement. We will consider and understand the differing agendas of western international nongovernmental organizations (INGOs) and their counterparts in the frequently non-western) developing world, as well as tensions between and among rights advocates along other important dimensions (civil and political vs. economic, social and cultural rights; rights promotion through engagement of powerful actors vs. challenging structures of power, etc.). The seminar seeks to develop your ability: 1) to understand human rights and social justice issues as contested political, legal and cultural phenomena; 2) to review advocacy texts, videos and other interventions critically; 3) to appreciate the political dimensions of efforts to promote human rights; 4) to understand how recent history constrains and structures options and possibilities for social intervention to promote rights and justice. During the course of the quarter you will be required to submit several short reflection papers and develop a human rights advocacy campaign.",　,　,Undergraduate course,United States,Stanford University,2018,"8, 10, 11",Humanities and Law,Public administration and safety,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=LAWGEN+115N&collapse=,1836
MATSCI 144: Thermodynamic Evaluation of Green Energy Technologies,"Understand the thermodynamics and efficiency limits of modern green technologies such as carbon dioxide capture from air, fuel cells, batteries, and geothermal power. Recommended: ENGR 50 or equivalent introductory materials science course.",　,　,Undergraduate course,United States,Stanford University,2021,"7, 9, 13",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?q=MATSCI+144&view=catalog&page=0&filter-coursestatus-Active=on&collapse=&academicYear=20212022,1837
MATSCI 152: Electronic Materials Engineering,"Materials science and engineering for electronic device applications. Kinetic molecular theory and thermally activated processes; band structure; electrical conductivity of metals and semiconductors; intrinsic and extrinsic semiconductors; elementary p-n junction theory; operating principles of light emitting diodes, solar cells, thermoelectric coolers, and transistors. Semiconductor processing including crystal growth, ion implantation, thin film deposition, etching, lithography, and nanomaterials synthesis.",　,　,Undergraduate course,United States,Stanford University,2022,"7, 9, 13",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MATSCI+152&collapse=,1838
MATSCI 301: Engineering Energy Policy Change,"Public policy and economic decisions profoundly affect all aspects of the energy ecosystem, including its supply, distribution, storage and utilization. These decisions can also influence the pace and focus of innovation of new technologies, including through government-funded research and development programs or regulatory efforts. This course will equip graduate students, who have strong science and engineering backgrounds, with a basic ability to understand and shape the ideation and implementation of sound energy and, related economic, policy. Building on case studies of both aspirational and reactive U.S. energy policy-making, students will design their own policy proposals for new, ambitious and achievable moonshot goals that advance a sustainable and prosperous future. In particular, students will choose a moonshot goal designed to reduce U.S. (and/or global) transportation-related emissions. These proposals may focus on specific mobility technologies (e.g., new zero-GHG liquid fuels), lead to transformation of mobility systems (e.g., integration of wide-scale automation into the transportation sector), or reduce emissions in another way altogether (e.g., moving manufacturing closer to consumption through 3-d printing). Students will also be introduced to gunshot scenarios, moments of energy crisis that require robust response and can create openings for dramatic change to the energy ecosystem.",　,　,Postgraduate course,United States,Stanford University,2019,"7, 9, 12, 13",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MATSCI+301&collapse=,1839
MATSCI 302: Solar Cells,"In the last 15 years, the solar power market has grown in size by 100 times while solar modules prices have fallen by 20 times. Unsubsidized, solar power projects now compete favorably against fossil fuels in many countries and is on track to be the largest energy provider in the future. How did this happen? nnIn MatSci 302 we will take a comprehensive look at solar cells starting from the underlying device physics that are relevant to all photovoltaic cell technologies. We will then look at the undisputed king (silicon based solar cells); how do they work today and how will they develop in the future. Finally, we will look at why past challengers have failed and how future challengers can succeed. This class will be co-taught by Brian and Craig, who graduated from the Material Science PhD program in 2011 and then started PLANT PV, a startup that developed a solar technology from idea to protoype and then full implementation on production lines in China. The lecturers routinely visit manufacturing facilities in Asia and work closely with engineering staff at the largest solar cell makers in the world to implement their technology into production lines.",　,　,Postgraduate course,United States,Stanford University,2019,"7, 9, 13",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MATSCI+302&collapse=,1840
"MATSCI 303: Principles, Materials and Devices of Batteries","Thermodynamics and electrochemistry for batteries. Emphasis on lithium ion batteries, but also different types including lead acid, nickel metal hydride, metal air, sodium sulfur and redox flow. Battery electrode materials, electrolytes, separators, additives and electrode-electrolyte interface. Electrochemical techniques; advanced battery materials with nanotechnology; battery device structure. Prerequisites: undergraduate chemistry.",　,　,Postgraduate course,United States,Stanford University,2021,9,Engineering and Related Technologies,Professional services,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MATSCI+303&collapse=,1841
"MATSCI 316: Nanoscale Science, Engineering, and Technology","This course covers important aspects of nanotechnology in nanomaterials synthesis and fabrication, novel property at the nanoscale, tools and applications: a variety of nanostructures including nanocrystal, nanowire, carbon nanotube, graphene, nanoporous material, block copolymer, and self-assembled monolayer; nanofabrication techniques developed over the past 20 years; thermodynamic, electronic and optical property; applications in solar cells, batteries, biosensors and electronics. Other nanotechnology topics may be explored through a group project. ",　,　,Postgraduate course,United States,Stanford University,2021,9,Engineering and Related Technologies,Professional services,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MATSCI+316&collapse=,1842
MATSCI 343: Organic Semiconductors for Electronics and Photonics,"The science of organic semiconductors and their use in electronic and photonic devices. Topics: methods for fabricating thin films and devices; relationship between chemical structure and molecular packing on properties such as band gap, charge carrier mobility and luminescence efficiency; doping; field-effect transistors; light-emitting diodes; lasers; biosensors; photodetectors and photovoltaic cells.",　,　,Postgraduate course,United States,Stanford University,2021,9,Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MATSCI+343&collapse=,1843
"MATSCI 347: Magnetic materials in nanotechnology, sensing, and energy","This course will teach the fundamentals of magnetism, magnetic mateirals, and magnetic nanostructures and their myriad of applications in nanotechnology, sensing, energy and related areas. The scope of the course include: atomic origins of magnetic moments, magnetic exchange and ferromagnetism, types of magnetic order, magnetic anisotropy, domains, domain walls, hysteresis loops, hard and soft magnetic materials, demagnetization factors, magnetic nanoparticles and nanostructures, spintronics, and multiferroics. The key applications include electromagnet and permanent magnet, magnetic inductors, magnetic sensors, magnetic memory, hard disk drives, energy generation and harvesting, biomagnetism, etc. Prerequisites: College level electricity and magnetism course or equivalent.",　,　,Postgraduate course,United States,Stanford University,2018,9,Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MATSCI+347&collapse=,1844
ME 105: Designing for Impact,"This course will introduce the design thinking process and skills, and explore unique challenges of solving problems and initiating action for public good. Design skills such as need-finding, insight development, and prototyping will be learned through hands-on project work with a community partner and a particular emphasis on the elements required to be effective in the social sector. ",　,　,Undergraduate course,United States,Stanford University,2020,9,Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+105&collapse=,1845
ME 140: Advanced Thermal Systems,"Capstone course. Thermal analysis and engineering emphasizing integrating heat transfer, fluid mechanics, and thermodynamics into a unified approach to treating complex systems. Mixtures, humidity, chemical and phase equilibrium, and availability. Labs apply principles through hands-on experience with a turbojet engine, PEM fuel cell, and hybrid solid/oxygen rocket motor. Use of MATLAB as a computational tool.",　,　,Undergraduate course,United States,Stanford University,2019,9,Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+140&collapse=,1846
ME 141: Alternative Energy Systems,"Capstone course. Energy analysis, diagnostics and engineering of selected alternative energy systems with an integrated thermodynamic, heat transfer, and fluid mechanic approach. Mixtures, transport, reactions, electrochemical processes and photovoltaic effects. Labs apply principles through hands-on experience with selected alternative energy systems and their components. Use of MATLAB as an analysis tool.",　,　,Undergraduate course,United States,Stanford University,2018,"7, 9, 13",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+141&collapse=,1847
ME 170A: Mechanical Engineering Design- Integrating Context with Engineering,"First course of two-quarter capstone sequence. Working in project teams, design and develop an engineering system addressing a real-world problem in theme area of pressing societal need. Learn and utilize industry development process: first quarter focuses on establishing requirements and narrowing to top concept. Second quarter emphasizes implementation and testing. Learn and apply professional communication skills, assess ethics. Students must also enroll in ME170b; completion of 170b required to earn grade in 170a.",　,　,Undergraduate course,United States,Stanford University,2021,9,Engineering and Related Technologies,Professional services,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+170A&collapse=,1848
ME 177: Global Engineers' Education,"A project based course for those who would like to use their engineering backgrounds to address real world challenges faced by underserved communities globally. In direct collaboration with an underserved community from a rural village in India, students will develop engineering solutions to the challenge of sanitation and hygiene. Focus will be on working with the community rather than for them. Concepts covered will include designing with what designers care about at the center, articulating and realizing individual and community aspirations, ethics of engaging with underserved communities, and methodology of working sustainably with an underserved community.",　,　,Undergraduate course,United States,Stanford University,2018,"3, 4",Engineering and Related Technologies,Education and training,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+177&collapse=,1849
ME 182: Electric Transportation,"Transportation accounts for nearly one-third of American energy use and greenhouse gas emissions and three-quarters of American oil consumption. It has crucial impacts on climate change, air pollution, resource depletion, and national security. Students wishing to address these issues reconsider how we move, finding sustainable transportation solutions. An introduction to the issue, covering the past and present of transportation and its impacts; examining alternative fuel proposals; and digging deeper into the most promising option: battery electric vehicles. Energy requirements of air, ground, and maritime transportation; design of electric motors, power control systems, drive trains, and batteries; and technologies for generating renewable energy. Students will also have a fun opportunity for a hands-on experience with an electric car. Prerequisites: Introduction to calculus and Physics AP or elementary mechanics.",　,　,Undergraduate course,United States,Stanford University,2017,"7, 13",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+182&collapse=,1850
ME 204A: Bicycle Design and Frame-Building,"Lecture/lab. The engineering and artistic execution of designing and building a bicycle frame. Fundamentals of bicycle dynamics, handling, and sizing. Manufacturing processes. Films, guest lecturers, field trips. Each student designs and fabricates a custom bicycle frame. ",　,　,Postgraduate course,United States,Stanford University,2019,"9, 12",Engineering and Related Technologies,Manufacturing,https://explorecourses.stanford.edu/search?q=ME+204A&view=catalog&page=0&filter-coursestatus-Active=on&collapse=&academicYear=20192020,1851
ME 216A: Advanced Product Design: Needfinding,"Human needs that lead to the conceptualization of future products, environments, systems, and services. Field work in public and private settings; appraisal of personal values; readings on social ethnographic issues; and needfinding for a corporate client. Emphasis is on developing the flexible thinking skills that enable the designer to navigate the future.",　,　,Postgraduate course,United States,Stanford University,2021,"9, 12",Engineering and Related Technologies,Manufacturing,https://explorecourses.stanford.edu/search?q=ME+216A&view=catalog&page=0&filter-coursestatus-Active=on&collapse=&academicYear=20212022,1852
ME 216M: Introduction to the Design of Smart Products (CS 377N),"This course will focus on the technical mechatronic skills as well as the human factors and interaction design considerations required for the design of smart products and devices. Students will learn techniques for rapid prototyping of smart devices, best practices for physical interaction design, fundamentals of affordances and signifiers, and interaction across networked devices. Students will be introduced to design guidelines for integrating electrical components such as PCBs into mechanical assemblies and consider the physical form of devices, not just as enclosures but also as a central component of the smart product",　,　,Postgraduate course,United States,Stanford University,2020,9,Engineering and Related Technologies,Manufacturing,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+216M&collapse=,1853
ME 250: Internal Combustion Engines,"Internal combustion engines including conventional and turbocharged spark ignition, and diesel engines. Lectures: basic engine cycles, engine components, methods of analysis of engine performance, pollutant emissions, and methods of engine testing. Lab involves hands-on experience with engines and test hardware.",　,　,Postgraduate course,United States,Stanford University,2017,"9, 13",Engineering and Related Technologies,Manufacturing,https://explorecourses.stanford.edu/search?q=ME+250&view=catalog&page=0&filter-coursestatus-Active=on&collapse=&academicYear=20202021,1854
"ME 297: Forecasting for Innovators: Exponential Technologies, Tools and Social Transformation","This class will employ a suite of quantitative and qualitative foresight methods to understand the future of exponential technologies and their impact. This year, we will develop an integrated forecast of the COVID-19 pandemic¿s long-term trajectory, explore its implications and working as teams translate our insights into innovation opportunities. Specifically, students will develop a long-range forecast, learning and applying a variety of methodologies including scenario planning, cross-impact analysis, expert judgement elicitation and design thinking tools.",　,　,Postgraduate course,United States,Stanford University,2021,9,Engineering and Related Technologies,Professional services,https://explorecourses.stanford.edu/search?q=ME+297&view=catalog&page=0&filter-coursestatus-Active=on&collapse=&academicYear=20212022,1855
ME 302B: The Future of the Automobile- Driver Assistance and Automated Driving,"This course provides a holistic overview over the field of vehicle automation. The course starts with the history of vehicle automation and then introduces key terminology and taxonomy. Guest lecturers present the legal and policy aspects of vehicle automation both on the federal and state level. Then, the state of the art in vehicle automation is provided. This includes sensor and actuator technology as well as the driver assistance technology in cars today. Finally, the technology currently being developed for future highly and fully automated vehicles is described, including a high-level introduction of the software and algorithms used as well as HMI and system aspects. Students are asking to work in groups on a current topic related to vehicle automation and present their findings in the final two classes in a short presentation.",　,　,Postgraduate course,United States,Stanford University,2021,"9, 13",Engineering and Related Technologies,Manufacturing,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+302B&collapse=,1856
Engineering Design Entrepreneurship and Innovation: exploring the problem space,"The ME310ABC sequence immerses students in a real-world, globally distributed engineering design experience in the spirit of a Silicon Valley start-up teaching them to manage the chaos and ambiguity inherent in professional design. Teams of 3-4 Stanford graduate students partner with a similar team at an international university to work on industry-funded design challenges to deliver breakthrough innovation prototypes ( http://expe.stanford.edu). Design challenges are typically at the HUMAN INTERFACE to Robots, AI, Internet of Things, Autonomous vehicles, and Smart Cities. In ME310A you will learn HUMAN-CENTRIC Design-Thinking with the guidance of a teaching team that includes 3 faculty, expert industry coaches, and academic staff. Your team will explore the problem & solutions spaces using strategic-foresight, design thinking, team-dynamics-management, rapid prototyping, and human-centric problem reframing.",　,　,Postgraduate course,United States,Stanford University,2022,"9, 11, 13",Engineering and Related Technologies,Manufacturing,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+310A&collapse=,1857
Engineering Design Entrepreneurship and Innovation: exploring the solution space,"ME310B builds on the experience of ME310A. You will learn engineering design-creativity focused on RE-EXPLORING the Problem and Solution spaces using strategic-foresight, design thinking, team-dynamics-management, rapid prototyping, and human-centric problem/solution RE-FRAMING. Your will collaborate with academic partners to create and present end-of-quarter deliverables as you continue working towards the final prototype deliverables due in June ( http://expe.stanford.edu). You are expected to take the ME310ABC sequence. You team members will receive the same grade for ABC. Prerequisite: ME310A.",　,　,Postgraduate course,United States,Stanford University,2022,9,Engineering and Related Technologies,Manufacturing,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+310B&collapse=,1858
ME 310C Engineering Design Entrepreneurship and Innovation: make it REAL,"ME310C builds on ME310AB. You will learn to apply pre-production manufacturing techniques dedicated to making your ideas real and testing them with real users to demonstrate serious credibility. Collaborate with academic partners to create and present end-of-quarter deliverables. In June, teams present their results to the world at the Stanford Design EXPErience, a celebratory symposium and exposition where industry liaisons, Silicon Valley professionals, and others converge to explore the final product prototypes. You are expected to take the ME310ABC sequence. Your team members will receive the same grade for ABC. Prerequisite: ME310B.",　,　,Postgraduate course,United States,Stanford University,2022,9,Engineering and Related Technologies,Manufacturing,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+310C&collapse=,1859
ME 370A: Energy Systems I: Thermodynamics,"Thermodynamic analysis of energy systems emphasizing systematic methodology for and application of basic principles to generate quantitative understanding. Exergy, mixtures, reacting systems, phase equilibrium, chemical exergy, and modern computational methods for analysis. Prerequisites: undergraduate engineering thermodynamics and computer skills such as Matlab.",　,　,Postgraduate course,United States,Stanford University,2021,"9, 13",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+370A&collapse=,1860
ME 370B: Energy Systems II: Modeling and Advanced Concepts,"Development of quantitative device models for complex energy systems, including fuel cells, reformers, combustion engines, and electrolyzers, using thermodynamic and transport analysis. Student groups work on energy systems to develop conceptual understanding, and high-level, quantitative and refined models. Advanced topics in thermodynamics and special topics associated with devices under study. ",　,　,Postgraduate course,United States,Stanford University,2021,"9, 13",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+370B&collapse=,1861
ME 370C: Energy Systems III: Projects,"Refinement and calibration of energy system models generated in ME 370B carrying the models to maturity and completion. Integration of device models into a larger model of energy systems. Prerequisites: 370A,B, consent of instructor.",　,　,Postgraduate course,United States,Stanford University,2021,"9, 14",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+370C&collapse=,1862
ME 410A: Introductory Foresight and Technological Innovation,"Learn to develop long-range, technology-based innovations (5+ years based on industry). This course offers an intensive, hands-on approach using multiple engineering foresight strategies and tools. Model disruptive opportunities and create far-to-near development plans. Three quarter sequence.",　,　,Postgraduate course,United States,Stanford University,2021,9,Engineering and Related Technologies,Professional services,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=ME+410A&collapse=,1863
MED 108Q: Human Rights and Health,"Preference to sophomores. History of human-rights law. International conventions and treaties on human rights as background for social and political changes that could improve the health of groups and individuals. Topics such as: regional conflict and health, the health status of refugees and internally displaced persons; child labor; trafficking in women and children; HIV/AIDS; torture; poverty, the environment and health; access to clean water; domestic violence and sexual assault; and international availability of drugs. Possible optional opportunities to observe at community sites where human rights and health are issues. Guest speakers from national and international NGOs including Doctors Without Borders; McMaster University Institute for Peace Studies; UC Berkeley Human Rights Center; Kiva. PowerPoint presentation on topic of choice required.",　,　,Undergraduate course,United States,Stanford University,2018,"1, 3, 5, 6, 10, 11",Humanities and Law,Public administration and safety;Health care and social assistance,https://explorecourses.stanford.edu/search?q=MED+108Q&view=catalog&page=0&filter-coursestatus-Active=on&collapse=&academicYear=20182019,1864
MED 157: Foundations for Community Health Engagement,"Open to undergraduate, graduate, and MD students. Examination and exploration of community health principles and their application at the local level. Designed to prepare students to make substantive contributions in a variety of community health settings (e.g. clinics, government agencies, non-profit organization, advocacy groups). Topics include community health assessment; health disparities; health promotion and disease prevention; strategies for working with diverse, low-income, and underserved populations; and principles of ethical and effective community engagement.",　,　,Undergraduate course,United States,Stanford University,2021,"1, 3, 11",Health,Health care and social assistance,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MED+157&collapse=,1865
MED 159: Oaxacan Health on Both Sides of the Border,"Required for students participating in the Community Health in Oaxaca summer program. Introduction to the health literacy and health-seeking behaviors of Oaxacan and other Mexican migrants; the health challenges these groups face. Through discussion and reflection, students prepare for clinical work and community engagement in Oaxaca, while also gaining knowledge and insight to make connections between their experiences in Mexico and their health-related work with Mexican immigrants in the Bay Area. Service Learning Course (certified by Haas Center). Prerequisite: application and acceptance into the Community Health in Oaxaca Summer Program ( http://och.stanford.edu/oaxaca.html).",　,　,Undergraduate course,United States,Stanford University,2021,"3, 11",Health,Health care and social assistance,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MED+159&collapse=,1866
MED 161A: Community Health Advocacy,"MED161 Community Health Advocacy is a three-quarter course series that provides students with knowledge and concrete skills for working with and advocating for underserved populations. Through coursework and placements in community health clinics and social service agencies, students will broaden and deepen their understanding of the structural determinants of health, how they impact underserved populations, and the various levels at which these challenges can ¿ and should ¿ be addressed. Students will participate in weekly activities that support the mission of their placement organization, engage in direct service with clients, and collaborate on the design and implementation of a capacity-building project. Weekly classroom sessions will serve as a forum for teaching and training, discussion of class readings and placement experiences, project development, and troubleshooting and support.",　,　,Undergraduate course,United States,Stanford University,2018,"3, 11",Health,Health care and social assistance,https://explorecourses.stanford.edu/search?q=MED+161A&view=catalog&page=0&filter-coursestatus-Active=on&collapse=&academicYear=20182019,1867
MED 210: Principles and Practice of Healthcare Quality Improvement,"This course will introduce students to foundational concepts in healthcare quality improvement, and provide tools for translating these principles into practice. Topics include: current state, A3, SMART goals, root-cause analysis, metrics and measures, PDCA cycles, process controls, systems, and sustainability. Students have the option of completing the course curriculum in conjunction with a quality improvement/patient safety project offered by the SMS Quality Improvement Interest Group. This course will meet for four in-class sessions throughout the quarter, with students reviewing the online materials before each session. May be repeated for credit up to three quarters with continued work on a quality improvement project, and all units count towards the Quality Improvement Scholarly Concentration. Open to all.",　,　,Postgraduate course,United States,Stanford University,2021,3,Health,Health care and social assistance,https://explorecourses.stanford.edu/search?q=MED+210&view=catalog&academicYear=20212022&page=1&filter-coursestatus-Active=on&collapse=,1868
MED 228: Physicians and Social Responsibility,"Social and political context of the roles of physicians and health professionals in social change; policy, advocacy, and shaping public attitudes. How physicians have influenced governmental policy on nuclear arms proliferation; environmental health concerns; physicians in government; activism through research; the effects of poverty on health; homelessness; and gun violence. Guest speakers from national and international NGOs.",　,　,Postgraduate course,United States,Stanford University,2021,"1, 3, 11, 16",Health,Health care and social assistance,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MED+228&collapse=,1869
MED 232: Virtual Student Exchange in Global Health between Lebanon and Stanford,"Timely topics in global health will be presented in a unique virtual student exchange with the joint participation of the Modern University for Business & Science in Beirut, Lebanon. The goal of this interactive series will be to encourage students to think about a broad range of topics in global health including coordinated responses to crises, ethical approaches to research and implementation work in low-income countries, and focused sessions on refugee health which will connect classrooms in Beirut and in Palo Alto. Complex humanitarian emergencies require cross-cultural collaboration, and this class will be structured to encourage working with overseas counterparts on the pressing Syrian refugee crisis. By integrating lectures, guest speakers, and a cross-cultural collaborative capstone project, students will gain an in-depth understanding of the global-health landscape and methods of addressing complex issues with partners abroad. Undergraduates must take this course for a letter grade and 3 units. MD students can enroll for 1-2 units, yet the course will require 2 units worth of work. Students enrolling in the course for a third unit will create a podcast related to a topic of their choice on refugee health. These students will participate in a weekly section to develop their podcast with the teaching team as well as learn from guest speakers different podcast communication skills. This extra section time will be announced based off of students' and the teaching teams' schedules. The student who makes the best podcast will travel to Beirut to meet and work with their counterparts for a week during winter break. This course will be limited to 20 students. Students will fill out an application after the first day of class to determine enrollment.",　,　,Postgraduate course,United States,Stanford University,2018,3,Health,Health care and social assistance,https://explorecourses.stanford.edu/search?q=MED+232&view=catalog&page=0&filter-coursestatus-Active=on&collapse=&academicYear=20182019,1870
MED 237: Health Law: Improving Public Health,"(Same as Law 3009) Examines how the law can be used to improve the public's health. Major themes explored include: what authority does the government have to regulate in the interest of public health? How are individual rights balanced against this authority? What are the benefits and pitfalls of using laws and litigation to achieve public health goals? Investigates these issues in several contexts, including the control and prevention of infectious disease, laws aimed at preventing obesity and associated noncommunicable diseases, tobacco regulation, ensuring access to medical care, reproductive health, lawsuits against tobacco, food and gun companies, and public health emergencies.",　,　,Postgraduate course,United States,Stanford University,2021,3,Health,Health care and social assistance,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MED+237&collapse=,1871
MED 242: Physicians and Human Rights,"Weekly lectures on how human rights violations affect health. Topics include: regional conflict and health, the health status of refugees and internally displaced persons; child labor; trafficking in women and children; HIV/AIDS; torture; poverty, the environment and health; access to clean water; domestic violence and sexual assault; and international availability of drugs. Guest speakers from national and international NGOs including Doctors Without Borders; McMaster University Institute for Peace Studies; UC Berkeley Human Rights Center; Kiva.",　,　,Postgraduate course,United States,Stanford University,2021,"1, 3, 6, 10, 11",Health,Health care and social assistance,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MED+242&collapse=,1872
MGTECON 331: Health Law: Finance and Insurance,"This course provides the legal, institutional, and economic background necessary to understand the financing and production of health services in the US. Potential topics include: health reform, health insurance (Medicare and Medicaid, employer-sponsored insurance, the uninsured), medical malpractice and quality regulation, pharmaceuticals, the corporate practice of medicine, regulation of fraud and abuse, and international comparisons.",　,　,Postgraduate course,United States,Stanford University,2021,3,Humanities and Law,Financial and insurance services,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MGTECON+331&collapse=,1873
MGTECON 383: Impact: Measuring Impact in Business and Social,"This class provides students with practical skills for measuring impact in business and social enterprise. How large is the impact of raising prices on sales? Is an advertising campaign working? Does a non-profit actually improve people's lives? Students will finish the course with the ability to design, analyze, and skeptically evaluate experiments that can rigorously answer questions like these. Students will learn: how to evaluate claims of causality; how to conduct and analyze experiments and quasi-experiments; the advantages and disadvantages of experiments; how to quantify uncertainty; and what can go wrong in experiments. Students will acquire a conceptual understanding of basic experimental statistics to inform these skills. Students will also be exposed to how leading companies, researchers, and social innovators strategically deploy experiments. Finally, students will conduct their own experiments on a topic of their choosing in small groups. The class will not assume any prior experience or training with statistics, math or R. However, completing short problem sets and participation in weekly lab sessions will entail acquiring basic knowledge of R.",　,　,Postgraduate course,United States,Stanford University,2021,8,Humanities and Law,"Transport, postal and warehousing",https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MGTECON+383&collapse=,1874
MGTECON 515: Cryptocurrency,"This class will provide an overview of the rapidly evolving area of distributed ledger and blockchain technologies, with a focus on economic and strategic issues. We will cover key components of the architecture that affect the products derived from cryptocurrency. We then consider tokens as a store of value and exchange, analyzing models of cryptocurrency pricing and as a vehicle for raising of capital. Next, we consider use cases including payments, micropayments, asset registries, and smart contracts. We then analyze barriers to entry in cryptocurrencies, as well as how the new products they enable affect industry structure in both the financial sector and the economy and society as a whole. For example, how might decentralized systems like the blockchain impact the sharing economy? The government? We consider the governance of these decentralized systems and how decentralization affects the potential for the management and success of platforms. We discuss the potential for national digital currencies and the end of cash. Finally, we consider consumer protection, privacy, security, regulation, and the power of governments and regulators over borderless, decentralized systems. Students will benefit from guest lectures by industry and thought leaders.",　,　,Postgraduate course,United States,Stanford University,2019,"8, 16",Humanities and Law,Public administration and safety,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=20212022&q=MGTECON+515&collapse=,1875
